municipality_code,county_code,municipality_name,county_name
3417,34,Grue,Innlandet
3418,34,Åsnes,Innlandet
3419,34,Våler,Innlandet
3420,34,Elverum,Innlandet
3421,34,Trysil,Innlandet
3422,34,Åmot,Innlandet
3423,34,Stor-Elvdal,Innlandet
3424,34,Rendalen,Innlandet
3425,34,Engerdal,Innlandet
3426,34,Tolga,Innlandet
3427,34,Tynset,Innlandet
3428,34,Alvdal,Innlandet
3429,34,Folldal,Innlandet
3430,34,Os,Innlandet
3431,34,Dovre,Innlandet
3432,34,Lesja,Innlandet
3433,34,Skjåk,Innlandet
3434,34,Lom,Innlandet
3435,34,Vågå,Innlandet
3436,34,Nord-Fron,Innlandet
3437,34,Sel,Innlandet
3438,34,Sør-Fron,Innlandet
3439,34,Ringebu,Innlandet
3440,34,Øyer,Innlandet
3441,34,Gausdal,Innlandet
3442,34,Østre Toten,Innlandet
3443,34,Vestre Toten,Innlandet
3446,34,Gran,Innlandet
3447,34,Søndre Land,Innlandet
3448,34,Nordre Land,Innlandet
3449,34,Sør-Aurdal,Innlandet
3450,34,Etnedal,Innlandet
3451,34,Nord-Aurdal,Innlandet
3452,34,Vestre Slidre,Innlandet
3453,34,Øystre Slidre,Innlandet
3454,34,Vang,Innlandet
3901,39,Horten,Vestfold
3903,39,Holmestrand,Vestfold
3905,39,Tønsberg,Vestfold
3907,39,Sandefjord,Vestfold
3909,39,Larvik,Vestfold
3911,39,Færder,Vestfold
4001,40,Porsgrunn,Telemark
4003,40,Skien,Telemark
4005,40,Notodden,Telemark
4010,40,Siljan,Telemark
4012,40,Bamble,Telemark
4014,40,Kragerø,Telemark
4016,40,Drangedal,Telemark
4018,40,Nome,Telemark
4020,40,Midt-Telemark,Telemark
4022,40,Seljord,Telemark
4024,40,Hjartdal,Telemark
4026,40,Tinn,Telemark
4028,40,Kviteseid,Telemark
4030,40,Nissedal,Telemark
4032,40,Fyresdal,Telemark
4034,40,Tokke,Telemark
4036,40,Vinje,Telemark
4201,42,Risør,Agder
4202,42,Grimstad,Agder
4203,42,Arendal,Agder
4204,42,Kristiansand,Agder
4205,42,Lindesnes,Agder
4206,42,Farsund,Agder
4207,42,Flekkefjord,Agder
4211,42,Gjerstad,Agder
4212,42,Vegårshei,Agder
4213,42,Tvedestrand,Agder
4214,42,Froland,Agder
4215,42,Lillesand,Agder
4216,42,Birkenes,Agder
4217,42,Åmli,Agder
4218,42,Iveland,Agder
4219,42,Evje og Hornnes,Agder
4220,42,Bygland,Agder
4221,42,Valle,Agder
4222,42,Bykle,Agder
4223,42,Vennesla,Agder
4224,42,Åseral,Agder
4225,42,Lyngdal,Agder
4226,42,Hægebostad,Agder
4227,42,Kvinesdal,Agder
4228,42,Sirdal,Agder
4601,46,Bergen,Vestland
4602,46,Kinn,Vestland
4611,46,Etne,Vestland
4612,46,Sveio,Vestland
4613,46,Bømlo,Vestland
4614,46,Stord,Vestland
4615,46,Fitjar,Vestland
4616,46,Tysnes,Vestland
4617,46,Kvinnherad,Vestland
4618,46,Ullensvang,Vestland
4619,46,Eidfjord,Vestland
4620,46,Ulvik,Vestland
4621,46,Voss,Vestland
4622,46,Kvam,Vestland
4623,46,Samnanger,Vestland
4624,46,Bjørnafjorden,Vestland
4625,46,Austevoll,Vestland
4626,46,Øygarden,Vestland
4627,46,Askøy,Vestland
4628,46,Vaksdal,Vestland
4629,46,Modalen,Vestland
4630,46,Osterøy,Vestland
4631,46,Alver,Vestland
4632,46,Austrheim,Vestland
4633,46,Fedje,Vestland
4634,46,Masfjorden,Vestland
4635,46,Gulen,Vestland
4636,46,Solund,Vestland
4637,46,Hyllestad,Vestland
4638,46,Høyanger,Vestland
4639,46,Vik,Vestland
4640,46,Sogndal,Vestland
4641,46,Aurland,Vestland
4642,46,Lærdal,Vestland
4643,46,Årdal,Vestland
4644,46,Luster,Vestland
4645,46,Askvoll,Vestland
4646,46,Fjaler,Vestland
4647,46,Sunnfjord,Vestland
4648,46,Bremanger,Vestland
4649,46,Stad,Vestland
4650,46,Gloppen,Vestland
4651,46,Stryn,Vestland
5001,50,Trondheim,Trøndelag
5006,50,Steinkjer,Trøndelag
5007,50,Namsos,Trøndelag
5014,50,Frøya,Trøndelag
5020,50,Osen,Trøndelag
5021,50,Oppdal,Trøndelag
5022,50,Rennebu,Trøndelag
5025,50,Røros,Trøndelag
5026,50,Holtålen,Trøndelag
5027,50,Midtre Gauldal,Trøndelag
5028,50,Melhus,Trøndelag
5029,50,Skaun,Trøndelag
5031,50,Malvik,Trøndelag
5032,50,Selbu,Trøndelag
5033,50,Tydal,Trøndelag
5034,50,Meråker,Trøndelag
5035,50,Stjørdal,Trøndelag
5036,50,Frosta,Trøndelag
5037,50,Levanger,Trøndelag
5038,50,Verdal,Trøndelag
5041,50,Snåsa,Trøndelag
5042,50,Lierne,Trøndelag
5043,50,Røyrvik,Trøndelag
5044,50,Namsskogan,Trøndelag
5045,50,Grong,Trøndelag
5046,50,Høylandet,Trøndelag
5047,50,Overhalla,Trøndelag
5049,50,Flatanger,Trøndelag
5052,50,Leka,Trøndelag
5053,50,Inderøy,Trøndelag
5054,50,Indre Fosen,Trøndelag
5055,50,Heim,Trøndelag
5056,50,Hitra,Trøndelag
5057,50,Ørland,Trøndelag
5058,50,Åfjord,Trøndelag
5059,50,Orkland,Trøndelag
5060,50,Nærøysund,Trøndelag
5061,50,Rindal,Trøndelag
5501,55,Tromsø,Troms
5503,55,Harstad,Troms
5510,55,Kvæfjord,Troms
5512,55,Tjeldsund,Troms
5514,55,Ibestad,Troms
5516,55,Gratangen,Troms
5518,55,Lavangen,Troms
5520,55,Bardu,Troms
5522,55,Salangen,Troms
5524,55,Målselv,Troms
5526,55,Sørreisa,Troms
5528,55,Dyrøy,Troms
5530,55,Senja,Troms
5532,55,Balsfjord,Troms
5534,55,Karlsøy,Troms
5536,55,Lyngen,Troms
5538,55,Storfjord,Troms
5540,55,Kåfjord,Troms
5542,55,Skjervøy,Troms
5544,55,Nordreisa,Troms
5546,55,Kvænangen,Troms
5601,56,Alta,Finnmark
5603,56,Hammerfest,Finnmark
5605,56,Sør-Varanger,Finnmark
5607,56,Vadsø,Finnmark
5610,56,Karasjok,Finnmark
5612,56,Kautokeino,Finnmark
5614,56,Loppa,Finnmark
5616,56,Hasvik,Finnmark
5618,56,Måsøy,Finnmark
5620,56,Nordkapp,Finnmark
5622,56,Porsanger,Finnmark
5624,56,Lebesby,Finnmark
5626,56,Gamvik,Finnmark
5628,56,Tana,Finnmark
5630,56,Berlevåg,Finnmark
5632,56,Båtsfjord,Finnmark
5634,56,Vardø,Finnmark
5636,56,Nesseby,Finnmark
